Format Version,1.24,Take Name,Take 2024-10-24 04.26.46 PM,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2024-10-24 04.26.47.070 PM,Capture Start Frame,161615,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"CE30C20AAF924411EF","CE30C20AAF924411EF","CE30C20AAF924411EF"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,147.097687,67.769791,90.318573
1,0.005556,147.092850,67.771233,90.317223
2,0.011111,147.094177,67.771057,90.316582
3,0.016667,147.095795,67.768364,90.315514
4,0.022222,147.097717,67.769402,90.319084
5,0.027778,147.095566,67.772209,90.315437
6,0.033333,147.098053,67.767265,90.317108
7,0.038889,147.099594,67.767403,90.319290
8,0.044444,147.101166,67.768311,90.321259
9,0.050000,147.099930,67.766212,90.317230
10,0.055556,147.097824,67.767609,90.319153
11,0.061111,147.100403,67.765327,90.320152
12,0.066667,147.100006,67.766838,90.316551
13,0.072222,147.099319,67.766624,90.320221
14,0.077778,147.096741,67.769913,90.319382
15,0.083333,147.097015,67.766525,90.318619
16,0.088889,147.101349,67.768372,90.320099
17,0.094444,147.101791,67.771347,90.320145
18,0.100000,147.100586,67.770233,90.318283
19,0.105556,147.100586,67.769386,90.320976
20,0.111111,147.098145,67.770996,90.319939
21,0.116667,147.100189,67.771683,90.319603
22,0.122222,147.100998,67.770851,90.320747
23,0.127778,147.098923,67.772339,90.319466
24,0.133333,147.098969,67.770508,90.317932
25,0.138889,147.099899,67.768394,90.318703
26,0.144444,147.100204,67.768677,90.317902
27,0.150000,147.099945,67.767700,90.321297
28,0.155556,147.097824,67.766670,90.318573
29,0.161111,147.098785,67.764061,90.319305
30,0.166667,147.098663,67.764427,90.318604
31,0.172222,147.096069,67.762779,90.317200
32,0.177778,147.096725,67.764534,90.318130
33,0.183333,147.097977,67.764641,90.318909
34,0.188889,147.097351,67.762314,90.318314
35,0.194444,147.099670,67.760635,90.317070
36,0.200000,147.097336,67.762550,90.317467
37,0.205556,147.097610,67.763710,90.316315
38,0.211111,147.098373,67.762062,90.317932
39,0.216667,147.098984,67.760040,90.317772
40,0.222222,147.094940,67.760254,90.318718
41,0.227778,147.095566,67.762436,90.316391
42,0.233333,147.095367,67.760101,90.319038
43,0.238889,147.098328,67.764458,90.319016
44,0.244444,147.101669,67.764343,90.318398
45,0.250000,147.099533,67.764412,90.318184
46,0.255556,147.097672,67.767082,90.319481
47,0.261111,147.099030,67.763512,90.319923
48,0.266667,147.100540,67.768723,90.319038
49,0.272222,147.101242,67.765282,90.318748
50,0.277778,147.095917,67.768692,90.315826
51,0.283333,147.101105,67.766716,90.317223
52,0.288889,147.096146,67.765114,90.316742
53,0.294444,147.097961,67.762611,90.319183
54,0.300000,147.097702,67.764862,90.315239
55,0.305556,147.098679,67.766708,90.311874
56,0.311111,147.095901,67.766342,90.314255
57,0.316667,147.091599,67.766846,90.317978
58,0.322222,147.092239,67.765205,90.314957
59,0.327778,147.095337,67.764641,90.312645
60,0.333333,147.095261,67.762520,90.315086
61,0.338889,147.093414,67.763496,90.315178
62,0.344444,147.094238,67.763336,90.317383
63,0.350000,147.094147,67.765472,90.317253
64,0.355556,147.094788,67.764648,90.313248
65,0.361111,147.095093,67.763405,90.313446
66,0.366667,147.093063,67.763779,90.315842
67,0.372222,147.093338,67.765823,90.319633
68,0.377778,147.095856,67.763443,90.315971
69,0.383333,147.095413,67.766441,90.313347
70,0.388889,147.097977,67.765945,90.317657
71,0.394444,147.097946,67.768570,90.319313
72,0.400000,147.098480,67.768112,90.318481
73,0.405556,147.095901,67.769211,90.319160
74,0.411111,147.097702,67.765266,90.321037
75,0.416667,147.099686,67.768402,90.319374
76,0.422222,147.095947,67.769165,90.320816
77,0.427778,147.098251,67.769646,90.319809
78,0.433333,147.097275,67.770340,90.318275
79,0.438889,147.099319,67.764992,90.321732
80,0.444444,147.097336,67.770500,90.315666
81,0.450000,147.099335,67.769287,90.318321
82,0.455556,147.097565,67.767845,90.318611
83,0.461111,147.097015,67.766914,90.317108
84,0.466667,147.091370,67.766716,90.314720
85,0.472222,147.091232,67.767059,90.317909
86,0.477778,147.092667,67.766380,90.319069
87,0.483333,147.093231,67.770439,90.317238
88,0.488889,147.094543,67.767990,90.318520
89,0.494444,147.092270,67.769409,90.316345
90,0.500000,147.089645,67.770073,90.310570
91,0.505556,147.096069,67.770332,90.315865
92,0.511111,147.092072,67.770599,90.316299
93,0.516667,147.092880,67.771172,90.314522
94,0.522222,147.092590,67.770020,90.314926
95,0.527778,147.091095,67.770622,90.314819
96,0.533333,147.092575,67.770027,90.312851
97,0.538889,147.094345,67.770157,90.315353
98,0.544444,147.093567,67.770515,90.315346
99,0.550000,147.093567,67.770065,90.313881
100,0.555556,147.090515,67.764946,90.314629
101,0.561111,147.090714,67.769691,90.315140
102,0.566667,147.089752,67.770256,90.311829
103,0.572222,147.089355,67.769119,90.309479
104,0.577778,147.089966,67.768524,90.309174
105,0.583333,147.090363,67.773384,90.310417
106,0.588889,147.089478,67.767677,90.311157
107,0.594444,147.090256,67.766426,90.312683
108,0.600000,147.088089,67.768509,90.313675
109,0.605556,147.090210,67.767426,90.310631
110,0.611111,147.091995,67.766724,90.311615
111,0.616667,147.087341,67.769714,90.312195
112,0.622222,147.091339,67.769554,90.309952
113,0.627778,147.088684,67.762665,90.315491
114,0.633333,147.084976,67.766350,90.310020
115,0.638889,147.092941,67.765488,90.313873
116,0.644444,147.090927,67.765457,90.309998
117,0.650000,147.091080,67.766190,90.313049
118,0.655556,147.086777,67.767174,90.312569
119,0.661111,147.092468,67.765442,90.311966
120,0.666667,147.091614,67.765755,90.311821
121,0.672222,147.093140,67.767159,90.312347
122,0.677778,147.091507,67.767006,90.311684
123,0.683333,147.091827,67.768402,90.311882
124,0.688889,147.090897,67.766769,90.314461
125,0.694444,147.091995,67.764755,90.313118
126,0.700000,147.093430,67.768486,90.312782
127,0.705556,147.092331,67.764717,90.316383
128,0.711111,147.092072,67.768456,90.311966
129,0.716667,147.092911,67.766014,90.313820
130,0.722222,147.094833,67.766823,90.313072
131,0.727778,147.094284,67.764511,90.313812
132,0.733333,147.095886,67.764183,90.315872
133,0.738889,147.094299,67.764862,90.311531
134,0.744444,147.093018,67.766716,90.312218
135,0.750000,147.093872,67.763878,90.312798
136,0.755556,147.093140,67.764709,90.314934
137,0.761111,147.094147,67.762390,90.313873
138,0.766667,147.093567,67.761665,90.313072
139,0.772222,147.093338,67.763542,90.314194
140,0.777778,147.095978,67.765549,90.317299
141,0.783333,147.091553,67.764381,90.312912
142,0.788889,147.094971,67.765350,90.313332
143,0.794444,147.095749,67.763161,90.315338
144,0.800000,147.096909,67.763542,90.317810
145,0.805556,147.100952,67.761444,90.316284
146,0.811111,147.095383,67.764412,90.314125
147,0.816667,147.094757,67.764511,90.313301
148,0.822222,147.093140,67.763634,90.314568
149,0.827778,147.094452,67.763397,90.312210
150,0.833333,147.094681,67.760277,90.315804
151,0.838889,147.094162,67.764397,90.315643
152,0.844444,147.096359,67.763702,90.314186
153,0.850000,147.096756,67.763603,90.315804
154,0.855556,147.096313,67.763580,90.312744
155,0.861111,147.095276,67.762146,90.313713
156,0.866667,147.095688,67.762192,90.312996
157,0.872222,147.096786,67.761909,90.315804
158,0.877778,147.096573,67.764946,90.313843
159,0.883333,147.093521,67.760483,90.314491
160,0.888889,147.091675,67.762489,90.316010
